V1,V2,V3
l,562,179
l,671,422
l,530,399
t,1039,287
t,1030,231
t,1099,217
t,1047,166
t,829,197
t,794,211
t,783,298
t,767,309
t,810,363
t,850,351
t,846,322
t,714,3
t,748,30
t,981,324
t,958,345
t,1106,314
t,1158,351
t,764,408
t,719,175
t,677,168
t,698,197
l,497,458
l,513,473
l,563,503
l,572,487
l,617,504
l,682,472
l,827,485
l,377,388
l,429,340
l,383,275
l,349,225
l,373,214
l,278,161
l,360,28
l,464,403
l,417,435
l,201,456
l,214,33
l,369,265
l,318,280
l,303,38
t,314,91
t,310,227
t,545,17
t,835,455
t,818,435
t,822,411
t,831,366
t,853,469
t,991,439
t,940,421
t,951,409
t,943,374
