V1,V2,V3
l,1270,591
l,1260,618
l,1223,628
l,1318,621
l,1384,595
l,1442,574
l,1391,576
l,1417,600
l,1487,556
l,1449,543
l,1492,517
l,1466,487
l,1457,467
l,1456,474
l,1448,487
l,1439,446
l,1479,437
l,1462,419
l,1408,400
l,1413,383
l,1472,374
l,1487,373
l,1498,400
l,1449,366
l,1508,340
l,1528,340
l,1532,327
l,1535,274
l,1527,257
l,1505,434
l,1491,213
l,1455,158
l,1334,167
l,1044,194
l,1471,111
l,1164,325
l,1366,122
t,1219,613
t,1227,593
t,1253,634
t,1284,584
t,1288,551
t,1322,514
t,1369,445
t,1442,525
t,1476,333
t,1348,284
t,1431,336
t,1495,287
t,1207,431
t,1077,413
t,1080,471
t,1055,492
t,1021,475
t,1139,213
t,1079,246
t,1049,267
