V1,V2,V3
l,517,1811
l,503,1810
l,485,1798
l,542,1774
l,541,1765
l,586,1751
l,559,1795
l,620,1804
l,629,1813
l,631,1827
l,600,1824
l,591,1827
l,583,1814
l,606,1835
l,587,1867
l,530,1863
l,501,1846
l,498,1836
l,455,1818
l,432,1790
l,422,1769
l,398,1811
l,538,1745
l,525,1743
l,525,1701
l,518,1732
l,468,1703
l,453,1717
l,466,1720
l,394,1726
l,412,1688
l,399,1684
l,386,1694
l,330,1616
l,341,1617
l,370,1779
l,364,1768
l,660,1839
l,670,1780
l,668,1670
l,663,1689
l,602,1679
l,580,1694
l,578,1683
l,564,1686
l,566,1701
l,484,1878
l,487,1864
l,466,1850
l,452,1838
l,445,1864
l,470,1891
l,600,1917
l,605,1889
l,584,1896
l,560,1904
l,547,1903
l,621,1928
l,637,1930
l,638,1891
l,436,1905
l,433,1926
l,425,1918
l,410,1893
l,424,1868
l,394,1854
l,360,1859
l,666,1616
l,472,1642
l,472,1629
l,442,1654
l,285,1718
l,386,1773
l,363,1752
l,269,1728
l,106,1827
l,106,1813
l,145,1790
l,85,1781
l,95,1749
l,118,1746
l,141,1735
l,146,1745
l,130,1735
l,103,1734
l,75,1704
l,34,1788
l,55,1831
l,93,1878
l,44,1896
l,15,1881
l,12,1905
l,74,1958
l,229,1932
l,252,1816
l,202,1823
l,210,1824
l,189,1829
l,161,1838
l,167,1813
l,158,1821
l,193,1768
l,247,1761
l,192,1723
l,178,1715
l,151,1686
l,150,1705
l,237,1672
l,286,1678
l,260,1627
l,195,1624
l,138,1623
l,165,1612
l,187,1608
l,148,1612
l,215,1488
l,238,1506
l,227,1520
l,244,1556
l,259,1553
l,263,1585
l,255,1573
l,262,1571
l,301,1597
l,303,1570
l,301,1558
l,279,1595
l,263,1608
l,233,1604
l,406,1617
l,378,1614
l,402,1641
l,357,1651
l,474,1614
l,524,1598
l,581,1628
l,597,1641
l,582,1666
l,634,1556
l,652,1616
l,496,1917
l,354,1880
l,328,1879
t,409,1819
t,415,1835
t,552,1870
t,652,1779
t,245,1800
t,252,1789
t,184,1871
t,164,1860
t,115,1905
t,265,1945
t,169,1782
t,106,1769
t,255,1717
t,348,1686
t,336,1711
t,465,1568
t,496,1588
t,475,1508
t,413,1506
t,214,1910
t,66,1859
t,23,1673
t,13,1556
t,2,1540
t,122,1538
t,335,1443
t,395,1443
t,446,1437
t,404,1563
t,375,1576
t,491,1483
t,494,1460
l,172,1516
l,162,1546
l,162,1563
l,191,1540
l,165,1465
l,141,1459
