V1,V2,V3
l,1396,189
l,1404,176
l,1352,261
l,1370,288
l,1349,160
l,1631,258
l,1478,24
t,1673,56
t,1891,71
t,1883,114
t,1882,150
t,1935,56
l,1528,321
l,1438,222
l,1337,165
l,1330,149
l,1334,126
l,1238,123
l,1235,58
l,1245,29
l,1231,25
l,1291,18
l,1203,110
l,1166,102
l,1153,98
l,1168,124
l,1467,73
l,1326,206
l,1274,228
l,1302,252
l,1100,179
l,1049,177
l,1038,164
l,1054,112
l,1086,99
l,1123,97
l,1111,90
l,1100,59
l,1076,65
l,1052,47
l,1045,16
l,1177,43
l,1137,42
l,1166,73
l,1437,392
l,1367,378
l,1278,379
l,1320,441
l,1294,453
l,1285,446
l,1264,467
