active,index,type,x1,y1,x2,y2,color,1,datetime,xf,yf,class_label
1,1,6,0.4402372741412771,0.43673298646644315,0.4402372741412771,0.43673298646644315,0000ff,1,20/6/2020/0:12:0                                                                                                                                                                                                                                                                                                            ,30654.60187300541,30410.59131363137,l
1,2,6,0.4375634773099906,0.43671209695089785,0.4375634773099906,0.43671209695089785,0000ff,1,20/6/2020/0:12:3                                                                                                                                                                                                                                                                                                            ,30468.420052049267,30409.13673488492,l
1,3,6,0.4380439252107958,0.43829966427392975,0.4380439252107958,0.43829966427392975,0000ff,1,20/6/2020/0:12:6                                                                                                                                                                                                                                                                                                            ,30501.874600278134,30519.682222722276,l
1,4,6,0.4382319264680089,0.4385398877262989,0.4382319264680089,0.4385398877262989,0000ff,1,20/6/2020/0:12:8                                                                                                                                                                                                                                                                                                            ,30514.965503820396,30536.409462157648,l
1,5,6,0.44397641216055334,0.4361794266557231,0.44397641216055334,0.4361794266557231,0000ff,1,20/6/2020/0:12:14                                                                                                                                                                                                                                                                                                            ,30914.96553156365,30372.045836891313,l
1,6,6,0.44442552598725404,0.4345814153717721,0.44442552598725404,0.4345814153717721,0000ff,1,20/6/2020/0:12:16                                                                                                                                                                                                                                                                                                            ,30946.238225544475,30260.773115167234,l
1,7,6,0.4435168531776532,0.4332654057744273,0.4435168531776532,0.4332654057744273,0000ff,1,20/6/2020/0:12:21                                                                                                                                                                                                                                                                                                            ,30882.96552046635,30169.13673488492,l
1,8,6,0.44794545662128615,0.4349783070033167,0.44794545662128615,0.4349783070033167,0000ff,1,20/6/2020/0:13:4                                                                                                                                                                                                                                                                                                            ,31191.3380354534,30288.40947325495,l
1,9,6,0.44936591120658337,0.4367956534193719,0.44936591120658337,0.4367956534193719,0000ff,1,20/6/2020/0:13:9                                                                                                                                                                                                                                                                                                            ,31290.247129136813,30414.954938897703,l
1,10,6,0.4498150254317108,0.43640920614717316,0.4498150254317108,0.43640920614717316,0000ff,1,20/6/2020/0:13:14                                                                                                                                                                                                                                                                                                            ,31321.51985086089,30388.045842439962,l
1,11,6,0.4471203396825192,0.4360854258279032,0.4471203396825192,0.4360854258279032,0000ff,1,20/6/2020/0:13:16                                                                                                                                                                                                                                                                                                            ,31133.883492773177,30365.500371248556,l
1,12,6,0.44726656290470856,0.4325134005463617,0.44726656290470856,0.4325134005463617,0000ff,1,20/6/2020/0:13:24                                                                                                                                                                                                                                                                                                            ,31144.065308180667,30116.77310684426,l
1,13,6,0.4475172313140638,0.4377774383381009,0.4475172313140638,0.4377774383381009,0000ff,1,20/6/2020/0:13:30                                                                                                                                                                                                                                                                                                            ,31161.51985086089,30483.31858635864,l
1,14,6,0.44890635222368325,0.43673298646644315,0.44890635222368325,0.43673298646644315,0000ff,1,20/6/2020/0:13:34                                                                                                                                                                                                                                                                                                            ,31258.24711803951,30410.59131363137,l
1,15,6,0.4497523584787821,0.4345605262546536,0.4497523584787821,0.4345605262546536,0000ff,1,20/6/2020/0:13:36                                                                                                                                                                                                                                                                                                            ,31317.156225594554,30259.318564164038,l
1,16,6,0.45175770575362356,0.4376312149166981,0.45175770575362356,0.4376312149166981,0000ff,1,20/6/2020/0:13:59                                                                                                                                                                                                                                                                                                            ,31456.792567036315,30473.136757079523,l
1,17,6,0.45250971157932923,0.43886366764714213,0.45250971157932923,0.43886366764714213,0000ff,1,20/6/2020/0:14:4                                                                                                                                                                                                                                                                                                            ,31509.15623669185,30558.954905605802,l
1,18,6,0.45366905299749866,0.4360332032343203,0.45366905299749866,0.4360332032343203,0000ff,1,20/6/2020/0:14:7                                                                                                                                                                                                                                                                                                            ,31589.883498321826,30361.864007612192,l
1,19,6,0.4544732806199337,0.434779860988331,0.4544732806199337,0.434779860988331,0000ff,1,20/6/2020/0:14:9                                                                                                                                                                                                                                                                                                            ,31645.883476127223,30274.591280339464,l
1,20,6,0.45088036642048707,0.43722387852738087,0.45088036642048707,0.43722387852738087,0000ff,1,20/6/2020/0:14:46                                                                                                                                                                                                                                                                                                            ,31395.701674591357,30444.773109618585,l
1,21,6,0.450504363906061,0.4378505496503755,0.450504363906061,0.4378505496503755,0000ff,1,20/6/2020/0:14:49                                                                                                                                                                                                                                                                                                            ,31369.519867506842,30488.40947325495,l
1,22,6,0.45381527641890146,0.43587653545357163,0.45381527641890146,0.43587653545357163,0000ff,1,20/6/2020/0:14:54                                                                                                                                                                                                                                                                                                            ,31600.065327600947,30350.9549167031,l
