V1,V2,V3
t,569,1327
t,627,1307
t,723,1276
t,623,1347
t,536,1389
t,401,1268
t,284,1388
t,325,1448
t,336,1486
t,195,1478
t,136,1377
t,135,1355
t,169,1339
t,184,1348
t,248,1133
t,207,1128
t,355,1070
t,395,1102
t,398,1117
t,526,1058
t,474,1060
t,208,1058
t,162,1067
t,137,1274
t,189,1269
t,403,1356
t,759,1415
t,698,1407
t,525,1319
t,593,1378
t,368,1401
t,262,1449
t,270,1481
t,137,1435
t,135,1486
t,176,1074
t,445,1083
t,281,1065
t,235,1103
t,39,1102
t,37,1164
t,304,992
t,107,1036
t,138,991
t,189,1315
t,314,1364
t,53,1332
l,1304,1337
l,1276,1353
l,1237,1396
l,1360,1382
l,1371,1373
l,1337,1380
l,1350,1343
l,1323,1385
l,1323,1414
l,1392,1249
l,1422,1239
l,1424,1249
l,1409,1244
l,1413,1221
l,1197,1366
l,1173,1375
l,1159,1371
l,1147,1398
l,1152,1443
l,1324,1478
l,1353,1483
l,1365,1474
l,1374,1473
l,1431,1469
l,1446,1449
l,1406,1505
l,1395,1533
l,1405,1540
l,1419,1540
l,1433,1526
l,1502,1502
l,1537,1445
l,1563,1438
l,1574,1412
l,1522,1554
l,1450,1549
l,1324,1568
l,1318,1559
l,1324,1586
l,1296,1602
l,1280,1594
l,1317,1613
l,1337,1624
l,1515,1598
l,1533,1570
