V1,V2,V3
t,811,1740
t,768,1682
t,751,1664
t,507,1648
t,547,1933
t,508,1956
t,418,1876
t,988,1844
t,572,1692
t,304,1849
t,278,1874
t,319,1974
t,322,1943
t,198,1826
t,256,1686
t,280,1664
t,214,1856
t,171,1853
t,143,1906
t,437,1606
t,450,1551
t,306,1535
t,710,1062
t,486,1236
t,268,1158
t,917,1234
t,760,1632
t,728,1647
t,825,1799
t,630,1981
t,576,1983
t,549,1994
t,1023,1994
t,1363,1801
t,1379,1891
t,1273,1962
t,441,1991
t,441,1927
t,495,1888
t,526,1895
t,939,1629
t,917,1632
t,832,1629
t,787,1632
t,856,1596
t,787,1587
t,818,1572
t,1046,1574
t,1013,1508
t,1075,1507
t,1109,1533
t,1126,1519
t,1141,1497
t,1168,1535
t,1154,1603
t,1141,1546
t,1014,1756
t,400,1635
t,432,1658
t,275,1479
t,328,1453
t,300,1412
t,421,1421
t,332,1362
t,216,1375
t,184,1388
t,80,1443
t,51,1513
t,69,1485
t,159,1468
t,110,1549
t,88,1572
t,131,1580
t,185,1580
t,338,1706
t,1263,1798
t,1247,1834
t,1244,1875
t,1254,1924
t,1221,1933
t,1350,1920
t,1324,1852
t,1087,1818
t,1103,1887
t,1122,1843
t,1126,1668
t,1080,1692
t,997,1692
t,982,1363
t,1132,1420
t,1090,1424
t,790,1228
t,688,1223
t,782,1191
t,677,1178
t,181,1216
t,261,1231
t,264,1202
t,399,1188
t,380,1154
t,422,1149
t,224,1514
t,2,1548
t,386,1772
t,54,1888
t,73,1868
t,1384,1447
t,1379,1427
t,1407,1411
l,752,1354
l,744,1446
l,939,1446
l,1070,1375
l,447,1527
l,104,1645
l,885,1849
l,828,1977
t,294,1113
t,348,1111
t,352,1450
t,354,1480
t,386,1383
t,429,1341
t,1001,1383
t,1027,1397
t,1128,1248
t,1131,1216
t,1086,1198
t,842,1242
t,859,1248
t,853,1211
t,778,1165
t,802,1175
