V1,V2,V3
l,287,399
l,274,364
l,283,343
l,308,315
l,292,275
l,411,339
l,437,363
l,513,338
l,152,518
l,140,477
l,116,421
l,99,394
l,96,375
l,104,365
l,128,347
l,203,314
l,172,299
l,192,248
l,171,235
l,144,258
l,82,283
l,73,264
l,94,208
l,88,147
l,84,109
l,187,139
l,250,144
l,285,159
l,257,211
l,305,224
l,345,203
l,347,173
l,357,162
l,440,192
l,434,171
l,491,155
l,506,41
l,503,90
l,489,92
l,516,169
l,507,142
l,551,86
l,551,112
l,554,125
l,581,155
l,619,155
l,608,243
l,712,233
l,729,224
l,726,382
l,686,395
l,722,436
l,770,440
l,715,487
l,733,273
l,749,138
l,577,21
l,377,90
l,325,67
l,344,70
l,392,47
l,216,377
l,241,331
l,227,343
l,109,339
t,325,414
t,365,411
t,396,392
t,432,385
t,409,390
t,452,432
t,485,468
t,469,441
t,488,442
t,494,410
t,505,379
t,519,363
t,576,392
t,581,417
t,621,398
t,609,435
t,587,457
t,612,480
t,587,499
t,567,488
t,541,504
t,491,523
t,510,512
t,397,515
t,369,511
t,393,475
t,384,447
t,361,441
t,323,469
t,287,485
t,259,496
t,247,467
t,220,463
t,239,433
t,202,426
t,221,402
t,238,396
t,265,424
t,279,447
t,301,415
t,131,494
t,109,486
t,179,512
t,85,241
t,541,61
t,541,171
t,528,190
t,591,182
t,597,51
t,633,20
t,477,35
t,143,83
t,621,136
t,507,307
t,291,120
t,417,157
t,591,105
t,962,958
t,942,923
t,913,943
t,914,871
t,858,849
t,828,837
t,800,876
t,799,844
t,819,809
t,821,787
t,825,766
t,765,781
t,727,788
t,709,739
t,751,739
t,765,717
t,798,739
t,800,709
t,872,755
t,893,789
t,935,842
t,955,880
t,994,942
t,1002,974
t,1031,957
t,961,980
t,1082,975
t,1033,984
t,941,1015
t,845,1055
t,865,1021
t,879,986
t,732,707
t,733,687
t,692,702
t,672,753
t,647,756
t,625,735
t,662,699
t,590,741
t,566,784
t,730,635
t,735,618
t,734,600
t,675,572
t,663,593
t,647,609
t,538,639
t,531,613
t,506,588
t,487,618
t,523,705
t,540,712
t,509,772
t,460,758
t,459,730
t,459,712
t,443,695
t,458,600
t,454,778
t,485,804
t,449,902
t,432,923
t,421,942
t,460,988
t,470,934
t,490,1030
t,433,1022
t,439,1055
t,1027,886
t,1035,870
t,1035,832
t,1076,893
t,1089,860
t,1074,830
t,1092,809
t,995,708
t,953,705
t,894,661
t,941,623
t,886,609
t,921,600
t,1026,680
t,1044,659
t,1077,660
t,922,676
t,959,734
t,1021,734
t,1117,718
t,440,573
t,415,757
t,530,902
t,530,926
t,425,668
t,548,857
t,526,838
l,765,1033
l,763,1019
l,769,1005
l,786,990
l,794,980
l,639,867
l,607,916
l,559,956
l,553,986
l,541,997
l,564,1020
l,575,1021
l,593,993
l,579,1007
l,608,1009
l,619,989
l,649,1062
l,591,1045
l,554,1060
l,715,937
l,739,974
l,730,1025
l,606,885
l,610,790
l,687,614
l,613,618
l,608,558
l,635,548
l,702,561
l,728,542
l,766,543
l,791,600
l,769,584
l,808,660
l,975,814
l,1002,824
l,1066,900
l,1101,934
l,1116,936
l,503,900
l,410,623
l,972,614
l,959,543
l,577,915
l,706,1006
l,756,1045
t,316,595
t,316,626
t,398,670
t,367,759
t,423,869
t,374,962
t,377,887
t,258,701
t,251,799
t,269,843
t,377,852
t,309,906
t,339,920
t,316,978
t,309,997
t,286,990
t,288,953
t,248,948
t,253,927
t,234,901
t,188,932
t,206,948
t,202,990
t,232,995
t,230,971
t,381,1025
t,419,465
t,216,682
t,185,698
t,197,738
t,213,789
t,190,771
t,358,659
t,342,675
t,484,558
t,447,553
t,538,565
t,559,551
t,549,528
t,573,518
t,636,434
t,757,652
l,615,953
l,650,911
l,696,901
l,722,890
l,722,871
l,715,859
l,694,855
l,727,827
l,703,817
l,692,822
l,696,1214
l,715,1202
l,596,1109
l,577,1090
l,668,1095
l,678,1083
l,692,1095
l,699,1076
l,687,1067
l,664,1060
l,626,1076
l,643,1081
l,657,1074
l,689,1153
l,615,953
l,692,1244
l,664,1284
l,619,1289
l,860,40
l,839,47
l,759,21
l,776,14
l,778,3
l,811,112
l,843,154
l,886,182
l,879,208
l,937,257
l,914,231
l,918,217
l,801,390
l,841,376
l,829,402
l,811,367
l,766,388
l,806,336
l,995,220
l,1000,203
l,1054,196
l,1215,84
l,1196,103
l,1173,77
l,1189,77
l,47,145
l,47,129
l,59,115
l,47,101
l,71,94
l,61,89
l,388,315
l,227,236
l,246,264
l,246,61
l,216,73
l,145,31
l,183,19
l,230,19
l,248,17
l,5,42
l,3,21
l,36,12
l,33,35
l,510,10
l,528,5
l,512,28
l,444,0
l,984,54
l,991,19
l,1068,147
l,1040,131
l,1063,131
l,1082,131
l,1105,105
l,1103,112
l,1205,231
l,1252,245
l,1317,187
l,1303,171
l,507,1125
l,519,1107
l,526,1093
l,563,1142
l,484,1172
l,468,1172
l,454,1205
l,386,1181
l,386,1177
l,374,1181
l,470,1275
l,449,1249
l,419,1282
l,442,1314
l,475,1303
l,379,1336
l,363,1317
l,356,1347
l,332,1319
l,328,1340
l,454,1385
l,449,1401
l,426,1378
l,325,1184
l,295,1184
l,246,1200
l,234,1191
l,267,1205
l,225,1251
l,192,1186
l,188,1174
l,241,1340
l,232,1347
l,220,1314
l,157,1265
l,155,1289
l,145,1275
l,113,1258
l,113,1242
l,89,1123
l,85,1109
l,5,1144
l,19,1121
l,1,1104
l,1138,238
l,1184,266
l,1182,231
l,1168,243
l,1292,292
