active,index,type,x1,y1,x2,y2,color,1,datetime,xf,yf,class_label
1,24,6,0.5321416047010068,0.34405941042422633,0.5321416047010068,0.34405941042422633,0000ff,1,18/6/2020/9:30:32                                                                                                                                                                                                                                                                                                            ,28335.47616711921,18320.475486269203,l
1,25,6,0.5319412851607562,0.34496995838344735,0.5319412851607562,0.34496995838344735,0000ff,1,18/6/2020/9:30:35                                                                                                                                                                                                                                                                                                            ,28324.80955223995,18368.960344001804,l
1,26,6,0.5322144494964206,0.34486069171134626,0.5322144494964206,0.34486069171134626,0000ff,1,18/6/2020/9:30:37                                                                                                                                                                                                                                                                                                            ,28339.355006785405,18363.142112245765,l
1,27,6,0.53130390101618,0.3451520677668837,0.53130390101618,0.3451520677668837,0000ff,1,18/6/2020/9:30:41                                                                                                                                                                                                                                                                                                            ,28290.870121309552,18378.657304451022,l
1,28,6,0.5314860109206359,0.34500637973911497,0.5314860109206359,0.34500637973911497,0000ff,1,18/6/2020/9:30:43                                                                                                                                                                                                                                                                                                            ,28300.56710950202,18370.899708348392,l
1,24,6,0.4981904612517193,0.3538650914532808,0.4981904612517193,0.3538650914532808,00ff00,1,18/6/2020/14:14:22                                                                                                                                                                                                                                                                                                            ,26527.645680731548,18842.6083897043,t
1,25,6,0.49855923294856025,0.3545343427210074,0.49855923294856025,0.3545343427210074,00ff00,1,18/6/2020/14:14:28                                                                                                                                                                                                                                                                                                            ,26547.282036044937,18878.2446812082,t
1,26,6,0.498928004905911,0.3554357858623311,0.498928004905911,0.3554357858623311,00ff00,1,18/6/2020/14:14:30                                                                                                                                                                                                                                                                                                            ,26566.91840522995,18926.244725597408,t
1,27,6,0.4992831188548864,0.3538650914532808,0.4992831188548864,0.3538650914532808,00ff00,1,18/6/2020/14:14:38                                                                                                                                                                                                                                                                                                            ,26585.827512784992,18842.6083897043,t
1,28,6,0.4985865494863306,0.3533187627819521,0.4985865494863306,0.3533187627819521,00ff00,1,18/6/2020/14:14:47                                                                                                                                                                                                                                                                                                            ,26548.73658704813,18813.517480613387,t
1,52,6,0.5057161392723933,0.35150221901194895,0.5057161392723933,0.35150221901194895,00ff00,1,18/6/2020/14:31:30                                                                                                                                                                                                                                                                                                            ,26928.372983976402,18716.790157948257,t
1,53,6,0.5043230005352817,0.3506144349210399,0.5043230005352817,0.3506144349210399,00ff00,1,18/6/2020/14:31:32                                                                                                                                                                                                                                                                                                            ,26854.191132502678,18669.517430675533,t
1,54,6,0.4981221701678032,0.3534963184538908,0.4981221701678032,0.3534963184538908,00ff00,1,18/6/2020/14:31:48                                                                                                                                                                                                                                                                                                            ,26524.009317095184,18822.971965032775,t
1,55,6,0.49843630931012306,0.35252658527069025,0.49843630931012306,0.35252658527069025,00ff00,1,18/6/2020/14:31:51                                                                                                                                                                                                                                                                                                            ,26540.73659814543,18771.335612493713,t
1,56,6,0.49835435969681197,0.35223976240563093,0.49835435969681197,0.35223976240563093,00ff00,1,18/6/2020/14:31:54                                                                                                                                                                                                                                                                                                            ,26536.372945135845,18756.062868575034,t
1,104,6,0.5019594916947933,0.35792701155607237,0.5019594916947933,0.35792701155607237,00ff00,1,18/6/2020/15:16:5                                                                                                                                                                                                                                                                                                            ,26728.33901376435,19058.897511337742,t
1,112,6,0.5048823502948095,0.3598937949812634,0.5048823502948095,0.3598937949812634,00ff00,1,18/6/2020/15:17:9                                                                                                                                                                                                                                                                                                            ,26883.97538849802,19163.62479516231,t
1,113,6,0.504991616445891,0.3603581735182614,0.504991616445891,0.3603581735182614,00ff00,1,18/6/2020/15:17:12                                                                                                                                                                                                                                                                                                            ,26889.793592510803,19188.35202350038,t
1,114,6,0.5043496796318562,0.360344515509886,0.5043496796318562,0.360344515509886,00ff00,1,18/6/2020/15:17:14                                                                                                                                                                                                                                                                                                            ,26855.61174103708,19187.62476187041,t
1,115,6,0.5034618955409471,0.3605903638287996,0.5034618955409471,0.3605903638287996,00ff00,1,18/6/2020/15:17:15                                                                                                                                                                                                                                                                                                            ,26808.33901376435,19200.715693155922,t
