V1,V2,V3
l,1994,1947
l,1779,1820
l,1770,1804
l,1786,1792
l,1805,1771
l,1840,1783
l,1861,1832
l,1924,1867
l,1989,1890
l,1893,1897
l,1826,1923
l,1812,1928
l,1805,1961
l,1760,1837
l,1893,1816
l,1980,1741
l,1987,1711
l,1744,1942
l,1758,1979
l,1746,1998
l,1945,1975
l,1707,1755
l,1695,1718
l,1704,1711
l,1711,1694
l,1725,1694
l,1723,1680
l,1744,1669
l,1770,1687
l,1704,1776
l,1723,1823
l,1681,1823
l,1714,1888
l,1791,1890
l,1772,1853
l,1518,1860
l,1515,1809
l,1471,1785
l,1447,1753
l,1457,1844
l,1468,1813
l,1391,1816
l,1380,1806
l,1389,1797
l,1354,1774
l,1429,1888
l,1508,1909
l,1494,1895
l,1525,1937
l,1595,1851
l,1574,1834
l,1630,1806
l,1707,1855
l,1700,1940
l,1686,1944
l,1742,1993
l,1074,1699
l,1093,1694
l,1130,1694
l,1167,1701
l,1207,1729
l,1230,1739
l,1137,1755
l,1137,1732
l,1116,1720
l,1076,1734
l,1062,1741
l,988,1683
l,1020,1694
l,1006,1685
l,1111,1755
l,1097,1764
l,1083,1771
l,1086,1804
l,1100,1778
l,1130,1858
l,1149,1844
l,1160,1816
l,1160,1778
l,1181,1769
l,1118,1881
l,1137,1881
l,1153,1876
l,1160,1855
l,1193,1860
l,1174,1844
l,1221,1809
l,1254,1809
l,1261,1753
l,1263,1755
l,1083,1914
l,1076,1930
l,1116,1963
l,1121,1949
l,1109,1925
l,1160,1904
l,1356,1942
l,1377,1954
l,1377,1876
l,1328,1823
l,1034,1750
l,1065,1799
l,1039,1795
l,848,1928
l,831,1874
l,848,1872
l,859,1818
l,913,1783
l,918,1746
l,908,1727
l,864,1762
l,901,1769
l,948,1802
l,1011,1907
l,1027,1907
l,925,1928
l,976,1963
l,967,1982
l,878,1998
l,885,1984
l,773,1855
l,803,1921
l,820,1940
l,838,1968
l,822,1958
l,817,1977
l,705,1888
l,738,1914
l,733,1937
l,777,1965
l,668,1673
l,642,1706
l,633,1694
l,525,1979
l,546,1909
l,651,1923
l,689,1940
l,679,1947
l,672,1956
l,971,1634
l,1149,1657
l,1172,1655
l,1230,1678
l,1298,1676
l,1284,1687
l,1314,1690
l,1490,1683
l,1485,1645
l,1590,1678
l,1567,1650
l,689,1818
l,703,1792
l,542,1830
l,502,1825
l,483,1797
l,481,1774
l,437,1778
l,460,1804
l,1844,1673
l,1807,1657
l,1809,1634
l,1679,1608
l,1672,1638
l,1592,1678
l,1072,1545
l,1048,1545
l,1009,1547
l,971,1573
l,955,1592
l,843,1601
l,829,1585
l,817,1622
l,857,1627
l,799,1659
l,808,1697
l,796,1795
l,822,1799
l,761,1757
l,773,1783
l,817,1844
l,836,1837
l,925,1844
l,918,1827
