V1,V2,V3
l,1734,1735
l,1582,1666
l,1612,1686
l,1639,1688
l,1551,1766
l,1559,1736
l,1582,1745
l,1539,1636
l,1445,1663
l,1212,1733
l,1237,1768
l,1197,1751
l,1203,1513
l,1259,1588
l,1475,1493
l,1513,1455
l,1630,1543
l,1652,1620
l,1304,1896
l,1201,1906
l,1217,1872
l,1252,1415
t,1585,1842
t,1555,1806
t,1513,1874
t,1468,1877
t,1481,1847
t,1315,1764
t,1340,1750
t,1273,1777
t,1241,1815
t,1273,1815
t,1231,1579
t,1217,1541
t,1145,1511
t,1121,1499
t,1117,1476
t,1148,1477
t,1084,1420
t,1115,1445
t,1231,1424
t,1336,1451
t,1355,1414
t,1405,1422
t,1431,1408
t,1574,1542
t,1490,1604
t,1449,1620
t,1409,1573
t,1412,1541
t,1505,1392
t,1561,1408
t,1624,1506
t,1640,1522
t,1667,1581
t,1392,1695
t,1360,1694
t,1392,1642
t,1354,1639
t,1089,1768
t,1137,1791
t,1379,1838
t,1660,1761
t,1645,1744
t,1294,1591
