V1,V2,V3
t,1341,1693
t,1350,1671
t,1426,1674
t,1406,1685
t,1411,1663
t,1411,1639
t,1435,1628
t,1435,1653
t,1456,1664
t,1459,1637
t,1411,1722
t,1389,1722
t,1373,1694
t,1387,1753
t,1408,1755
t,1430,1763
t,1449,1749
t,1471,1735
t,1437,1698
t,1462,1771
t,1477,1757
t,1417,1790
t,1478,1795
t,1445,1170
t,1428,1095
t,1399,1025
t,1182,721
t,1246,692
t,1146,776
t,1457,853
t,1488,851
t,1535,842
t,1498,878
t,1525,866
t,1553,869
t,1562,897
t,1638,852
t,1620,899
t,1487,945
t,1531,950
t,1496,998
t,1396,960
t,1378,870
t,1281,975
t,1531,1033
t,1631,968
t,1583,922
t,1558,950
t,1532,914
t,1447,767
t,1415,715
t,1381,704
t,1359,757
t,1457,924
t,1493,921
t,1627,1022
t,1495,1101
t,1571,1095
t,1601,1059
t,1546,1149
t,1573,1143
t,1615,1149
t,1651,1076
t,1627,1054
t,1535,1175
t,1510,1134
t,1334,999
t,1127,920
t,1219,726
t,1093,748
t,1097,760
t,456,956
t,425,934
t,541,965
t,489,956
t,475,915
t,549,868
t,543,853
t,572,810
t,586,828
t,565,925
t,565,882
t,491,983
t,574,1033
t,609,1002
t,580,965
t,689,932
t,693,905
t,700,874
t,706,979
t,743,956
t,448,1014
t,402,1026
t,444,907
t,415,1043
t,419,975
t,516,1006
t,555,991
t,594,1086
t,578,1060
t,601,1033
t,629,1031
t,735,1006
t,768,979
t,755,1035
t,803,1008
t,636,1105
t,633,1134
t,735,1122
t,718,1103
t,679,1080
t,644,940
t,605,874
t,665,828
t,435,1093
t,406,1068
t,472,1109
t,543,1134
t,563,1101
t,574,1163
t,582,1140
t,512,1150
t,518,1093
t,784,1051
t,854,1126
t,656,1148
t,768,1186
t,753,1200
t,633,1173
t,611,1169
t,656,1190
t,716,1198
t,710,1140
t,778,1223
t,790,1214
t,813,1214
t,856,1247
t,871,1210
t,836,1150
t,879,1159
t,883,1239
t,892,1278
t,918,1324
t,902,1305
t,923,1293
t,951,1283
t,877,1004
t,852,983
t,863,963
t,863,934
t,825,909
t,601,934
t,506,886
t,470,874
l,890,1928
l,890,1862
l,916,1839
l,956,1862
l,902,1998
l,764,1984
l,729,1991
l,701,1986
l,1098,1764
l,1089,1732
l,1131,1732
l,1119,1704
l,1159,1697
l,1170,1678
l,1173,1678
l,248,1991
l,290,1968
l,304,1970
l,372,1940
l,342,1937
l,307,1925
l,209,1918
l,192,1900
l,211,1902
l,59,1888
l,80,1886
l,706,1918
l,713,1890
l,722,1872
l,552,1930
l,528,1935
l,531,1956
l,526,1989
l,500,1993
l,458,1982
l,533,1907
l,855,1984
l,883,1977
l,1000,1925
l,1019,1942
l,993,1949
l,986,1970
l,970,1979
l,1002,1993
l,937,1895
l,1131,1844
l,1131,1783
l,1156,1776
l,1175,1774
l,1205,1776
l,1182,1736
l,1184,1713
l,1205,1706
l,1219,1701
l,1236,1708
l,1254,1720
l,1243,1694
l,1135,1732
l,1124,1697
l,1142,1683
l,1112,1676
l,1089,1734
l,1271,1323
l,1443,1284
l,1422,1223
l,1292,1382
l,1278,1405
l,1287,1447
l,1287,1484
l,1303,1505
l,1217,1438
l,1217,1466
l,1194,1466
l,1219,1477
l,1142,1491
l,1135,1419
l,1103,1375
l,1093,1452
l,1068,1561
l,1051,1536
l,1033,1543
l,1040,1512
l,1079,1529
l,1187,1622
l,148,1750
l,216,1806
l,297,1795
l,332,1862
l,365,1914
l,416,1890
l,409,1916
l,171,1993
l,211,1968
l,225,1968
l,159,1902
l,143,1881
l,150,1841
l,26,1970
l,47,1961
l,1280,1916
l,1273,1846
l,1282,1823
l,1280,1804
l,1261,1799
l,1245,1813
l,1243,1904
l,1229,1883
l,1229,1858
l,1205,1872
l,1257,1998
l,1306,1965
l,1313,1954
l,1327,1954
l,1236,1767
l,1054,1673
l,1019,1697
l,804,1883
l,822,1900
l,790,1911
l,617,1951
l,577,1970
l,619,1963
l,430,1823
l,552,1806
l,290,1895
