V1,V2,V3
l,316,1993
l,303,1986
l,445,1969
l,532,1978
l,527,1961
l,560,1954
l,642,1900
l,436,1957
l,409,1954
l,343,1919
l,352,1910
l,358,1920
l,370,1911
l,326,1914
l,317,1919
l,315,1927
l,322,1942
l,328,1932
l,275,1969
l,263,1967
l,277,1956
l,288,1990
l,297,1973
l,312,1979
l,329,1967
l,280,1903
l,278,1918
l,264,1920
l,306,1884
l,321,1889
l,349,1885
l,355,1891
l,371,1889
l,362,1866
l,372,1875
l,378,1865
l,390,1876
l,405,1862
l,418,1859
l,423,1897
l,476,1845
l,440,1900
l,408,1793
l,386,1822
l,299,1803
l,273,1770
l,297,1726
l,331,1769
l,361,1793
l,402,1772
l,388,1772
l,452,1789
l,443,1802
l,429,1813
l,421,1823
l,443,1825
l,468,1809
l,475,1791
l,491,1785
l,515,1830
l,522,1788
l,523,1761
l,504,1715
l,499,1919
l,492,1925
l,461,1921
l,450,1921
l,432,1927
l,485,1947
l,592,1971
l,605,1963
l,621,1971
l,628,1980
l,650,1955
l,666,1948
l,558,1892
l,538,1867
l,580,1836
l,592,1808
l,597,1820
l,533,1728
l,528,1748
l,453,1703
l,597,1705
l,614,1725
l,637,1740
l,653,1753
l,688,1740
l,708,1732
l,761,1835
l,772,1848
l,816,1852
l,829,1876
l,853,1916
l,686,1903
l,686,1921
l,690,1944
l,752,1989
l,769,1967
l,773,1951
l,762,1943
l,800,1943
l,805,1924
l,829,1932
l,893,1873
l,914,1871
l,935,1897
l,906,1833
l,915,1806
l,853,1799
l,947,1937
l,932,1957
l,968,1945
l,456,1742
t,465,1990
t,541,1932
t,549,1911
t,336,1958
t,292,1951
t,258,1902
t,270,1870
t,258,1828
t,288,1793
t,315,1761
t,261,1754
t,429,1785
t,426,1742
t,734,1953
t,498,1943
t,410,1943
t,384,1856
t,442,1840
t,477,1817
t,410,1734
t,470,1692
t,469,1747
t,480,1734
t,504,1789
t,619,1768
t,801,1985
t,956,1955
t,905,1809
t,941,1812
t,947,1851
t,695,1847
t,663,1981
t,261,1742
