V1,V2,V3
l,1893,551
l,1823,584
l,1851,609
l,1951,736
l,1986,768
l,1963,794
l,1949,754
l,1923,864
l,1932,855
l,1834,792
l,1837,731
l,1860,689
l,1925,731
l,1883,710
l,1925,752
l,1746,691
l,1753,719
l,1748,703
l,1760,754
l,1690,752
l,1673,722
l,1634,715
l,1652,743
l,1641,778
l,1617,773
l,1599,782
l,1914,880
l,1893,876
l,1827,922
l,1816,906
l,1788,918
l,1799,983
l,1774,971
l,1811,1011
l,1946,981
l,1659,824
l,1678,843
l,1624,845
l,1608,852
l,1599,876
l,1643,862
l,1697,831
l,1725,843
l,1743,817
l,1755,794
l,1701,894
l,1734,887
l,1743,932
l,1741,957
l,1972,1229
l,1872,1112
l,1936,1143
l,1974,1229
l,1590,734
l,1570,717
l,1565,738
l,1554,770
l,1556,819
l,1510,754
l,1507,791
l,1450,828
l,1440,835
l,1434,874
l,1507,953
l,1617,1055
l,1543,1174
l,1554,1187
l,1570,1195
l,1559,1216
l,1885,1128
l,1630,1316
l,1619,1333
l,1601,1333
l,1625,1394
l,1622,1378
l,1692,1386
l,1675,1432
l,1645,1409
l,1671,1397
l,1808,1357
l,1774,1383
l,1748,1407
l,1724,1410
l,1766,1420
l,1818,1406
l,1826,1383
l,1846,1385
l,1828,1367
l,1734,1508
l,1742,1529
l,1789,1488
l,1774,1475
l,1703,1438
l,1909,1412
l,1889,1414
l,1834,1623
l,1828,1592
l,1860,1589
l,1883,1579
l,1899,1539
l,1946,1524
l,1969,1529
l,1938,1551
l,1971,1595
l,1985,1633
l,1988,1655
l,1447,853
l,1403,806
l,1400,806
l,1487,707
l,1518,621
l,1562,593
l,1562,587
l,1552,624
l,1654,663
l,1674,650
l,1716,655
l,1711,613
l,1706,606
l,1680,610
l,1870,645
l,1906,627
l,1907,593
l,1868,584
l,1998,618
l,1332,1002
l,1342,1008
l,1307,957
l,1249,924
l,1278,906
l,1197,864
l,1207,854
l,1526,822
