V1,V2,V3
l,1477,705
l,1510,725
l,1553,742
l,1544,621
l,1578,531
l,1434,607
l,1423,659
l,1400,654
l,1391,667
l,1396,689
l,1346,731
l,1308,701
l,1313,660
l,1199,648
l,1109,751
l,1133,752
l,1050,665
l,1042,650
l,1043,581
l,1043,555
l,1034,550
l,1019,563
l,1042,513
l,1014,510
l,1029,494
l,1069,441
l,1031,451
l,1109,420
l,1216,438
l,1262,539
t,1332,674
t,1352,702
t,1245,762
t,1218,707
t,1186,736
t,1237,677
t,1329,481
t,1360,531
t,1457,537
t,1413,590
t,1419,573
t,1357,584
t,1182,513
t,1168,494
t,1143,481
t,1134,579
t,1139,655
t,1500,709
t,1509,684
t,1601,712
t,1525,649
t,1493,642
t,1510,568
t,1528,579
t,1415,542
t,1520,520
t,1434,433
t,1501,454
t,1539,434
t,1564,442
t,1602,429
t,1632,452
t,1583,485
t,1614,401
t,1597,387
t,1562,370
t,1513,363
t,1189,361
t,1071,360
t,1106,353
t,1142,362
t,1149,431
t,997,521
t,1017,441
t,1028,406
t,965,413
t,1022,371
t,1056,318
t,965,323
t,1002,718
t,959,750
t,991,754
t,1345,297
t,1337,315
t,1254,266
t,1320,259
t,1178,259
t,977,276
t,948,287
t,1331,392
t,1418,511
t,1400,502
t,1367,493
t,1352,497
t,1343,478
t,1321,510
t,1431,700
t,1390,701
t,1281,721
t,1246,627
t,1285,668
t,1126,505
