V1,V2,V3
l,1913,457
l,1970,387
l,1871,384
l,1868,365
l,1903,350
l,1805,377
l,1825,385
l,1817,350
l,1817,336
l,1844,335
l,1730,271
l,1587,284
l,1891,225
l,1896,201
l,1484,437
t,1943,551
t,1905,521
t,1964,452
t,1869,513
t,1863,485
t,1825,463
t,1771,481
t,1764,501
t,1863,594
t,1902,587
t,1818,625
t,1852,657
t,1814,660
t,1755,631
t,1722,657
t,1703,572
t,1721,490
t,1705,525
t,1743,503
t,1967,610
t,1629,521
t,1639,479
t,1667,492
t,1631,567
t,1614,579
t,1597,612
t,1575,633
t,1548,548
t,1516,567
t,1497,536
t,1477,520
t,1468,548
t,1612,414
t,1637,396
t,1595,420
t,1562,379
t,1535,383
t,1523,371
t,1548,290
t,1556,269
t,1828,209
t,1854,209
t,1870,156
t,1748,598
t,1681,321
t,1674,298
t,1649,304
t,1645,281
t,1612,318
t,1466,285
t,1485,215
t,1596,567
t,1484,585
t,1936,628
