V1,V2,V3
t,528,843
t,547,878
t,567,926
t,586,843
t,549,814
t,928,717
t,854,670
t,524,823
t,541,771
t,536,756
t,728,1059
t,884,1164
t,890,1188
t,856,1188
t,808,1201
t,966,831
t,915,923
t,1010,918
t,1023,932
t,682,998
t,537,1079
t,594,1140
t,445,1123
t,457,1121
t,422,1059
t,452,1074
t,435,1036
t,445,1022
t,451,1036
t,520,1011
t,509,1025
t,548,1006
t,541,984
t,483,913
t,504,939
t,1029,983
t,1030,983
t,1045,1144
t,1085,1171
t,639,767
t,640,753
t,657,780
t,678,743
t,735,793
t,486,1201
t,426,1095
t,473,839
t,484,889
t,486,789
t,429,804
t,458,969
t,480,1001
t,413,1111
,709,705
t,697,701
t,699,715
l,582,1160
l,804,1269
l,780,1258
l,778,1238
l,674,1142
l,914,1045
l,887,1003
l,615,1256
l,661,1215
l,522,1264
l,498,1258
l,649,1000
l,474,1125
l,467,1110
l,470,1082
l,437,1187
l,428,1197
l,375,1251
l,362,1248
l,346,1224
l,298,1177
l,270,1208
l,255,1162
l,242,1301
l,234,1248
l,296,1289
l,439,1381
l,805,1146
l,811,1114
l,898,1079
l,887,1040
l,751,913
l,646,879
l,623,905
l,651,1308
l,455,1327
l,459,1312
l,412,1295
l,432,1285
l,431,1332
l,295,1037
l,306,965
l,347,1013
l,906,1300
l,908,1335
l,636,1307
l,269,1191
l,279,1031
l,443,984
l,437,940
l,297,1193
l,551,687
l,554,678
l,574,974
l,586,1004
t,651,1063
t,686,976
t,720,975
t,770,949
t,662,916
t,686,874
t,843,898
t,864,926
t,814,831
t,824,811
t,760,761
t,736,742
t,729,727
t,736,755
t,684,708
t,664,693
t,335,847
t,314,893
t,288,951
t,254,1088
t,278,1082
t,318,1131
t,383,1207
t,225,892
t,416,872
t,415,908
