V1,V2,V3
t,130,1281
t,133,1260
t,129,1251
t,123,1237
t,118,1219
t,109,1219
t,142,1213
t,164,1251
t,176,1286
t,153,1333
t,186,1356
t,86,1317
t,71,1304
t,76,1259
t,9,1211
t,57,1183
t,12,1366
t,212,1310
t,108,1390
t,138,1446
t,255,1391
t,297,1556
t,196,1542
t,207,1543
t,166,1563
t,172,1550
t,115,1578
t,156,1592
t,341,1586
t,448,1563
t,277,1594
t,245,1595
t,242,1618
t,187,1626
t,240,1654
t,353,1632
t,364,1348
t,388,1320
t,322,1306
t,277,1310
t,277,1323
t,168,1302
t,37,1324
t,23,1336
t,83,1371
t,100,1313
t,55,1293
t,154,1235
