V1,V2,V3
t,371,1377
t,357,1357
t,187,1335
t,195,1352
t,131,1338
t,465,1401
t,451,1378
t,476,1362
t,509,1402
t,520,1427
t,635,1437
t,542,1298
t,515,1274
t,475,1252
t,365,1269
t,338,1234
t,259,1469
t,239,1482
t,223,1506
t,183,1468
t,696,1499
t,712,1490
t,703,1523
t,729,1518
t,126,1226
t,88,1263
t,133,1559
t,359,1114
t,347,1088
t,323,1099
t,27,1085
t,62,1027
t,72,988
t,87,981
t,187,965
t,269,1018
t,259,1190
t,229,1191
t,31,1199
t,48,1171
t,251,1329
t,293,1136
t,400,1075
t,232,982
t,191,1423
t,124,1444
t,268,1449
t,297,1367
t,286,1214
t,255,1247
t,152,1295
t,49,1347
t,66,1348
t,353,1405
t,436,1286
t,439,1214
t,324,1142
t,255,1137
t,496,1379
