V1,V2,V3
l,1688,611
l,1736,591
l,1656,587
l,1694,556
l,1653,564
l,1625,583
l,1632,566
l,1632,535
l,1607,545
l,1603,533
l,1616,534
l,1648,509
l,1673,501
l,1677,490
l,1683,481
l,1688,491
l,1604,512
l,1584,519
l,1624,501
l,1604,499
l,1613,501
l,1611,485
l,1627,487
l,1594,499
l,1569,516
l,1557,507
l,1563,494
l,1564,475
l,1592,479
l,1540,491
l,1528,495
l,1521,485
l,1533,484
l,1534,444
l,1526,433
l,1517,421
l,1521,399
l,1503,402
l,1499,490
l,1494,503
l,1527,517
l,1472,520
l,1448,505
l,1477,492
l,1465,462
l,1457,456
l,1448,463
l,1421,495
l,1409,472
l,1400,486
l,1400,542
l,1379,534
l,1455,637
l,1431,605
l,1402,445
l,1408,423
l,1419,392
l,1433,393
l,1448,398
l,1455,406
l,1463,409
l,1467,390
l,1472,383
l,1459,361
l,1585,341
l,1619,330
l,1633,325
l,1612,313
l,1384,414
l,1363,423
l,1331,421
l,1334,437
l,1352,405
l,1295,425
l,1269,415
l,1254,408
l,1272,387
l,1279,405
l,1306,358
l,1314,371
l,1256,382
l,1229,421
l,1235,445
l,1232,457
l,1173,545
l,1196,593
l,1275,549
l,1296,553
l,1294,515
l,1355,483
l,1362,469
l,1376,462
l,1269,559
l,1166,583
l,1139,598
l,1124,578
l,1121,645
l,1098,644
l,1043,634
l,1059,524
l,1045,506
l,1080,471
l,1132,423
l,1200,402
l,1262,402
l,1216,352
l,1203,306
l,1124,342
l,1256,290
l,1304,293
l,1747,236
l,1741,220
l,1755,226
l,1736,386
t,1456,610
t,1520,577
t,1551,565
t,1496,325
t,1512,326
t,1505,310
t,1513,298
t,1557,285
t,1547,271
t,1508,219
t,1485,205
t,1458,266
t,1390,274
t,1381,302
t,1368,307
t,1369,270
t,1332,196
t,1323,227
t,1226,320
t,1185,374
t,1161,399
t,1192,447
t,1123,243
t,1152,247
t,1177,305
t,1206,207
t,1271,149
t,1068,150
t,1045,176
t,1445,158
t,1419,230
t,1395,383
t,1384,395
t,1409,365
t,1338,359
t,1368,332
t,1269,480
t,1299,459
t,1504,436
