V1,V2,V3
t,1289,925
t,1242,887
t,1076,870
t,1011,970
t,1009,1061
t,1204,1058
t,1224,1063
t,1480,969
t,1472,921
t,1343,744
t,1509,819
t,991,854
t,1152,793
t,1113,773
t,761,623
t,839,793
t,836,809
t,670,830
t,671,808
t,647,838
t,669,954
t,719,1004
t,729,985
t,1218,679
t,1220,617
t,540,544
t,601,557
t,569,647
t,583,642
t,555,781
t,1150,743
t,1091,637
t,1138,610
t,1258,571
t,1221,635
t,1166,485
t,1127,472
t,1264,504
t,1058,651
t,1048,853
t,1331,669
t,1394,653
t,1404,567
t,1449,560
t,1262,448
t,1309,425
t,1290,416
t,1202,408
t,1058,571
t,1431,451
t,1360,568
t,1299,630
t,1432,704
t,1549,625
t,1535,615
t,1605,611
t,1577,643
t,1576,694
t,1527,693
t,718,528
t,627,577
t,724,493
t,695,523
t,791,512
t,836,488
t,863,479
t,877,468
t,780,589
t,644,661
t,591,698
t,605,693
t,629,701
t,666,774
t,715,629
t,655,498
t,672,485
t,695,443
t,727,453
t,614,495
t,860,671
t,890,507
t,789,441
t,861,448
t,789,856
t,666,879
t,658,898
t,623,927
t,789,763
t,726,775
t,621,1087
t,679,1053
t,679,1069
t,818,1067
t,802,1082
t,941,1173
t,1021,1113
t,1173,999
t,1186,982
t,1072,1061
