V1,V2,V3
t,1696,1261
t,1623,1170
t,1766,1093
t,1608,1221
t,1621,1355
t,1656,1442
t,1623,1443
t,1635,1310
t,1647,1222
t,1764,1323
t,1769,1276
t,1782,1220
t,1890,1187
t,1873,1161
t,1871,1118
t,1994,1192
t,1983,1355
t,1889,1334
t,1901,1360
t,1926,1407
t,1750,1197
t,1752,1225
t,1627,1371
t,1578,1441
t,1563,1215
t,1513,1277
t,1441,1268
t,1934,1045
t,1709,1364
t,1662,1342
t,1575,1264
t,1571,1292
t,1543,1198
t,1572,1169
t,1583,1101
t,1631,1105
t,1437,1185
t,1475,1238
t,1549,1348
t,1564,1424
t,1725,1411
t,1759,1406
t,1794,1371
t,1711,1107
t,1798,1044
t,1650,992
