V1,V2,V3
f,1887,1982
f,1662,1901
f,1698,1801
t,1484,1953
t,1429,1968
t,1425,1981
t,1480,1849
t,1470,1817
t,1475,1794
t,1491,1728
t,1491,1744
t,1420,1739
t,1432,1768
t,1417,1795
t,1402,1803
t,1397,1758
t,1374,1800
t,1409,1715
t,1456,1671
t,1594,1619
t,1630,1611
t,1519,1672
t,1499,1699
t,1493,1792
t,1471,1965
l,1607,1973
l,1394,1891
l,1568,1641
l,1931,1798
l,1984,1925
l,1839,1796
l,1893,1677
l,1901,1701
l,1835,1736
l,1986,1819
t,1960,1913
t,1947,1834
t,1961,1850
t,1871,1791
t,1877,1811
t,1896,1841
t,1887,1640
t,1963,1739
t,1996,1733
t,1798,1965
