V1,V2,V3
f,1140,1792
t,1107,1721
f,798,1354
f,758,1391
f,783,1310
f,782,1272
f,1030,1251
f,1305,1693
f,1356,1997
f,1331,1996
f,1096,1816
f,1238,1555
t,1099,1743
t,1046,1696
t,1030,1722
t,1043,1748
t,1050,1759
t,1027,1857
t,1011,1862
t,1073,1928
t,1073,1946
t,1011,1934
t,963,1935
t,942,1933
t,894,1931
f,1497,1652
f,1457,1504
f,1494,1492
f,1314,1512
f,1532,1466
f,1302,1252
f,1281,1653
f,878,1599
f,1208,1010
f,1386,1127
f,1318,1157
f,1222,1191
f,1050,959
f,1091,1110
t,1072,751
t,1048,726
t,1069,708
t,1062,662
t,1043,636
t,969,617
t,1041,573
t,1011,558
t,1030,541
t,1121,633
t,951,537
t,964,556
t,981,544
t,998,533
l,1108,720
f,1331,517
f,1277,463
f,1593,962
f,1906,1025
f,1864,1019
f,1771,168
f,1850,232
f,1654,525
t,1536,59
t,1519,45
t,1445,57
t,1443,100
t,1430,100
t,1549,0
t,1563,10
t,1581,19
f,1642,36
f,1714,20
f,1737,26
