V1,V2,V3
l,1380,1036
l,1357,1035
l,1346,953
l,1369,911
l,1339,887
l,1330,895
l,1317,861
l,1341,822
l,1333,847
l,1194,874
l,1260,906
l,1234,930
l,1213,939
l,1162,982
l,1125,998
l,1246,1079
l,1208,1092
l,1031,896
l,1091,757
l,1067,804
l,1199,700
l,1214,698
l,1349,699
t,1055,703
t,1004,707
t,943,721
t,990,751
t,1071,926
t,1218,1036
t,1239,1054
t,1346,1064
t,1386,1093
t,1215,862
t,1238,853
t,862,989
t,854,1007
t,831,1001
t,1009,986
t,1026,1008
l,1409,968
l,1433,917
l,1489,791
l,1495,852
t,1021,870
t,1004,888
