V1,V2,V3
l,563,1444
l,284,1357
l,264,1586
l,302,1627
l,416,1719
l,386,1661
l,421,1630
l,486,1621
l,493,1576
l,457,1546
l,469,1556
l,501,1526
l,536,1538
l,548,1555
l,485,1517
l,446,1444
l,568,1515
l,568,1498
l,653,1516
l,673,1486
l,669,1543
l,507,1673
l,245,1430
l,220,1343
l,218,1327
l,181,1303
l,131,1297
l,137,1276
l,491,1251
l,403,1333
l,253,1508
l,94,1559
l,83,1540
l,82,1512
l,63,1436
l,80,1381
l,47,1348
l,517,1551
l,277,1346
l,113,1341
t,322,1684
t,304,1671
t,281,1667
t,244,1658
t,229,1618
t,231,1580
t,231,1543
t,210,1480
t,214,1418
t,209,1397
t,206,1362
t,50,1447
t,65,1338
t,64,1320
t,157,1629
t,168,1602
t,404,1567
t,387,1564
t,531,1637
t,539,1571
t,432,1487
t,542,1426
t,518,1405
t,648,1445
t,706,1446
