V1,V2,V3
l,368,1739
l,404,1697
l,442,1784
l,437,1790
l,429,1801
l,441,1827
l,315,1814
l,286,1830
l,272,1854
l,241,1859
l,252,1871
l,225,1838
l,222,1857
l,212,1840
l,230,1789
l,220,1758
l,229,1745
l,166,1809
l,241,1816
l,251,1853
l,235,1883
l,345,1774
l,355,1767
l,408,1785
l,436,1767
l,470,1738
l,483,1763
l,487,1816
l,483,1862
l,446,1875
l,435,1872
l,491,1881
l,502,1853
l,529,1870
l,517,1898
l,523,1903
l,561,1851
l,601,1859
l,553,1927
l,516,1927
l,553,1965
l,624,1974
l,643,1955
l,501,1979
l,316,1865
l,255,1959
l,354,1977
l,275,1982
l,334,1924
l,292,1958
l,307,1956
l,398,1931
l,414,1915
l,427,1925
l,365,1875
l,301,1910
l,233,1973
l,241,1999
l,251,1993
l,513,1773
l,545,1803
l,601,1809
l,614,1788
l,308,1763
l,299,1806
l,297,1787
l,294,1763
l,263,1798
l,257,1822
l,157,1844
l,134,1875
l,134,1855
l,167,1768
l,146,1871
l,38,1974
l,110,1945
l,78,1934
l,32,1856
l,324,1664
l,118,1695
l,201,1950
l,214,1945
l,199,1936
