V1,V2,V3
l,759,1349
l,615,1407
l,612,1425
l,650,1406
l,653,1435
l,666,1367
l,485,1391
l,853,1322
l,927,1308
l,1066,1269
l,1073,1258
l,1079,1245
l,1035,1166
l,1015,1165
l,1040,1149
l,1065,1089
l,878,1123
l,868,1137
l,835,1156
l,770,1114
l,1021,1065
l,951,1051
l,805,1007
l,807,988
l,810,959
l,1061,1180
t,1027,1388
t,1069,1355
t,956,1290
t,951,1380
t,921,1371
t,906,1399
t,783,1357
t,726,1417
t,767,1313
t,749,1267
t,671,1251
t,710,1289
t,719,1272
t,736,1215
t,717,1191
t,698,1191
t,646,1226
t,587,1248
t,621,1229
t,539,1231
t,516,1253
t,522,1199
t,577,1143
t,614,1144
t,674,1151
t,637,1138
t,653,1114
t,629,1108
t,690,1087
t,658,1086
t,777,1077
t,848,954
t,885,943
t,917,937
t,934,921
t,871,910
t,532,1150
t,482,1152
t,457,1175
t,445,1247
t,403,1247
t,396,1265
t,491,1229
t,820,1156
t,809,1162
f,376,1130
f,285,876
f,497,840
f,531,815
f,202,1014
f,271,941
f,193,931
f,148,846
f,390,784
f,327,706
f,36,863
