V1,V2,V3
l,1659,1997
l,1503,1921
l,1406,1870
l,1451,1863
l,1439,1927
l,1795,1991
l,1730,1945
l,1699,1871
l,1464,1903
l,1711,1907
l,1682,1948
l,1768,1883
l,1781,1870
l,1744,1746
l,1715,1721
l,1676,1748
l,1633,1761
l,1623,1794
l,1576,1832
l,1571,1787
l,1408,1764
l,1286,1750
l,1292,1749
l,1368,1754
l,1355,1740
l,1342,1748
l,1370,1801
l,1184,1792
l,1191,1786
l,1288,1636
l,1262,1652
l,1360,1652
l,1118,1722
l,1169,1873
l,1398,1833
l,1461,1747
l,1475,1692
l,1507,1697
l,1544,1655
l,1563,1668
l,1639,1924
l,1560,1972
l,1192,1881
l,1238,1890
l,1160,1659
l,1383,1700
l,1542,1718
l,1556,1700
l,1264,1994
l,1569,1958
l,1352,1970
l,1147,1851
l,1511,1747
l,1705,1826
l,1688,1884
t,1710,1961
t,1784,1903
t,1747,1860
t,1582,1871
t,1555,1892
t,1219,1988
t,1281,1870
t,1309,1867
t,1310,1889
t,1372,1856
t,1166,1752
t,1227,1639
t,1304,1615
t,1231,1677
t,1305,1700
t,1233,1972
t,1486,1629
t,1720,1703
t,1143,1649
t,1403,1949
t,1425,1935
t,1468,1823
t,1431,1748
t,1739,1841
t,1666,1802
t,1104,1656
