V1,V2,V3
l,827,985
l,860,987
l,886,973
l,884,937
l,889,916
l,935,914
l,909,916
l,966,926
l,816,869
l,801,866
l,785,855
l,765,873
l,742,893
l,728,793
l,711,828
l,775,775
l,785,785
l,828,817
l,817,812
l,855,735
l,863,688
l,885,657
l,801,650
l,720,715
l,708,776
l,683,753
l,703,748
l,725,657
l,593,766
l,536,777
l,426,616
l,513,581
l,522,570
l,518,545
l,516,529
l,494,494
l,417,572
l,365,634
l,320,659
l,311,614
l,254,532
l,452,563
t,827,909
t,899,782
t,905,755
t,911,730
t,845,775
t,945,681
t,958,731
t,931,763
t,767,591
t,740,609
t,710,611
t,669,606
t,608,610
t,693,598
t,692,526
t,757,496
t,544,653
t,452,651
t,464,710
t,460,742
t,436,793
t,405,766
t,312,1003
t,364,974
t,411,926
t,450,932
t,462,974
t,506,982
t,290,919
t,297,847
t,389,833
t,431,838
t,415,682
t,273,730
t,332,696
t,657,499
t,319,555
t,307,593
t,358,554
t,555,859
t,609,792
t,628,851
t,646,913
t,504,952
t,491,1019
t,636,548
