V1,V2,V3
l,103,1036
l,98,1053
t,23,977
t,117,1067
t,75,889
t,114,1125
t,3,1210
t,12,1068
t,197,1092
t,167,1129
t,177,1155
t,185,1183
t,183,1025
t,177,972
t,260,979
t,241,1034
t,268,1062
t,22,862
t,2,812
t,48,814
t,54,863
t,107,779
t,113,737
t,60,720
t,91,714
t,75,681
t,94,664
t,57,661
t,27,676
t,34,695
t,270,897
t,299,930
t,302,963
t,327,974
t,355,960
t,433,938
t,430,890
t,395,873
t,427,846
t,428,809
t,450,777
t,474,883
t,244,804
t,208,793
t,172,815
t,166,762
t,124,717
t,120,685
t,102,566
t,150,560
t,182,577
t,239,543
t,273,529
t,230,592
t,193,639
t,239,632
t,252,666
t,208,673
t,187,678
t,303,674
t,348,684
t,373,692
t,448,977
t,475,955
t,502,897
t,350,755
t,361,737
t,387,775
t,429,743
c,239,1095
c,193,897
c,236,734
t,97,1349
t,83,1288
t,159,1345
t,133,1383
t,110,1388
t,209,1326
t,228,1300
t,184,1292
t,192,1229
t,278,1226
t,307,1220
t,320,1269
t,313,1119
t,334,1188
t,344,1274
t,330,1235
t,354,1223
t,1069,793
t,1058,731
t,1048,702
t,1030,685
t,1052,660
t,1081,664
t,1088,691
t,1053,828
t,1074,824
t,1066,858
t,1103,869
t,1070,887
t,1035,921
t,1099,913
t,1148,901
t,990,1014
t,1034,992
t,1059,995
t,1079,983
t,1116,977
t,1150,948
t,1162,921
t,1195,925
t,1224,902
t,1246,880
t,1179,867
t,1188,849
t,1125,738
t,1216,656
t,1191,677
t,1217,689
t,1205,717
t,1184,747
t,1192,804
t,1206,776
t,1235,742
t,1279,700
t,1253,680
t,1293,656
t,1243,629
t,1322,637
t,1350,655
t,1333,695
t,1316,730
t,1279,758
t,1357,720
t,1384,714
t,1371,669
t,1441,669
t,1366,781
t,1376,751
t,1418,765
t,1456,757
t,1402,831
t,1420,865
t,1282,867
t,1330,866
t,1261,849
t,1318,813
t,1467,783
t,1494,814
t,1428,595
t,1473,547
t,1499,533
t,1461,619
t,1492,591
t,1473,697
t,1518,752
t,1474,732
t,1566,725
t,1524,786
t,1562,790
t,1533,824
t,1191,614
