V1,V2,V3
l,350,232
l,351,231
l,256,350
l,217,360
l,208,339
l,137,288
l,69,217
l,51,207
l,59,222
l,107,368
l,137,369
l,149,388
l,405,376
l,353,364
l,533,344
l,489,360
l,579,288
l,584,319
l,555,338
l,649,335
l,662,300
l,181,161
l,156,271
l,90,240
l,85,291
l,71,387
l,155,33
l,156,17
l,148,47
l,608,19
l,624,37
l,659,27
l,421,151
l,172,97
l,155,165
t,278,278
t,348,297
t,260,287
t,216,233
t,232,159
t,258,170
t,299,180
t,314,127
t,368,193
t,373,156
t,402,197
t,448,228
t,444,185
t,444,149
t,459,89
t,435,44
t,456,60
t,512,62
t,453,9
t,331,22
t,297,58
t,324,63
t,306,25
t,109,96
t,104,49
t,496,145
t,524,185
t,504,219
t,519,236
t,539,240
t,544,124
t,352,20
t,16,281
l,25,199
l,47,320
