V1,V2,V3
l,1822,1579
l,1840,1685
l,1727,1749
l,1716,1774
l,1689,1788
l,1678,1834
l,1664,1799
l,1820,1746
l,1686,1669
l,1648,1639
l,1645,1684
t,1935,1813
t,1844,1725
t,1828,1714
t,1876,1713
t,1852,1648
t,1859,1505
t,1832,1528
t,1996,1454
t,1735,1446
t,1897,1430
t,1908,1464
t,1929,1486
t,1975,1496
t,1996,1528
t,1676,1651
t,1993,1669
t,1943,1659
t,1892,1652
t,1927,1723
t,1836,1817
t,1823,1838
t,1852,1875
t,1883,1852
t,1981,1913
t,1912,1539
t,1767,1484
t,1725,1723
t,1676,1873
t,1708,1893
t,1695,1728
t,1722,1787
t,1900,1788
t,1991,1801
t,1913,1873
t,1807,1917
t,1871,1461
t,1663,1591
l,1647,1609
l,1689,1705
