V1,V2,V3
l,1999,1343
l,1965,1265
l,1967,1281
l,1948,1257
l,1996,1230
l,1983,1230
l,1964,1222
l,1989,1268
l,1937,1288
l,1919,1285
l,1929,1245
l,1891,1245
l,1904,1247
l,1891,1230
l,1859,1265
l,1866,1273
l,1829,1257
l,1836,1247
l,1836,1222
l,1849,1197
l,1998,1160
l,1989,1151
l,1983,1094
l,1989,1061
l,1980,1055
l,1962,1046
l,1986,1003
l,1998,1007
l,1912,931
l,1905,917
l,1923,935
l,1928,952
l,1918,955
l,1945,950
l,1947,940
l,1993,940
l,1709,1070
l,1715,1083
l,1731,1071
l,1739,1073
l,1753,1076
l,1862,1215
