V1,V2,V3
l,167,1966
l,157,1968
l,152,1951
l,152,1938
l,174,1950
l,190,1943
l,214,1947
l,214,1966
l,196,1976
l,210,1995
l,230,1963
l,251,1942
l,179,1915
l,152,1890
l,149,1904
l,168,1919
l,211,1919
l,186,1897
l,171,1876
l,156,1878
l,156,1859
l,171,1851
l,192,1859
l,184,1868
l,218,1866
l,147,1855
l,91,1863
l,94,1849
l,83,1831
l,99,1827
l,111,1817
l,114,1805
l,144,1821
l,140,1782
l,152,1777
l,150,1792
l,179,1781
l,180,1799
l,184,1833
l,163,1838
l,160,1843
l,206,1835
l,200,1822
l,237,1803
l,224,1786
l,234,1774
l,211,1782
l,188,1757
l,176,1765
l,162,1760
l,148,1755
l,176,1740
l,170,1726
l,176,1714
l,169,1705
l,151,1714
l,141,1746
l,120,1732
l,109,1742
l,94,1746
l,89,1734
l,110,1716
l,99,1671
l,136,1660
l,174,1686
l,186,1681
l,227,1648
l,220,1629
l,165,1674
l,72,1654
l,70,1635
l,63,1621
l,48,1620
l,84,1595
l,94,1616
l,125,1634
l,100,1643
l,171,1630
l,51,1652
l,46,1664
l,54,1682
l,34,1663
l,24,1651
l,16,1672
l,1,1696
l,20,1717
l,18,1727
l,31,1715
l,55,1717
l,36,1768
l,56,1763
l,86,1772
l,94,1781
l,68,1799
l,59,1783
l,81,1794
l,57,1811
l,22,1818
l,38,1788
l,14,1826
l,364,1977
l,379,1954
l,372,1922
l,310,1891
t,207,1936
t,192,1921
t,133,1957
t,54,1835
t,302,1988
t,306,1947
t,318,1918
