V1,V2,V3
f,1591,1153
f,1388,1250
f,1701,1033
f,1721,1065
f,930,1030
f,1049,793
f,1108,980
f,1852,1290
f,814,647
f,869,556
f,891,890
f,841,1014
f,649,1123
f,750,1121
f,655,810
f,599,884
f,495,1005
f,1442,711
f,1367,719
f,1343,807
f,1351,461
f,852,1252
f,763,1322
f,593,1332
f,1038,431
f,1099,378
f,478,1340
f,521,1218
f,590,1155
f,889,1075
f,806,954
f,648,1186
f,641,1177
f,539,1524
f,217,1626
f,1092,725
f,982,624
f,953,586
f,1157,908
f,1186,1137
f,1105,669
f,1117,634
f,1276,879
f,1211,1091
f,1352,1108
f,1368,1070
f,1391,1039
f,1927,982
f,1930,774
f,1803,1091
