V1,V2,V3
l,98,1453
l,164,1418
l,53,1442
l,30,1449
l,21,1407
l,34,1414
l,205,1501
l,227,1490
l,255,1452
l,278,1436
l,292,1425
l,307,1436
l,282,1416
l,297,1408
l,248,1413
l,240,1407
l,234,1418
l,273,1403
l,286,1402
l,3,1276
l,15,1256
l,27,1277
l,14,1313
l,31,1314
l,2,1318
l,466,1385
l,466,1423
l,483,1434
l,176,1402
l,176,1377
l,142,1382
l,113,1366
l,181,1368
l,105,1289
l,135,1305
l,133,1269
l,188,403
l,195,390
l,239,403
l,218,363
l,97,521
l,89,520
l,83,534
l,75,550
l,62,537
l,43,532
l,49,510
l,173,604
l,166,595
l,165,566
l,157,572
l,149,541
l,149,530
l,132,498
l,156,473
l,145,486
l,173,492
l,174,478
l,95,531
l,94,543
l,104,543
l,97,556
l,87,569
l,103,573
l,105,601
l,115,600
l,87,595
l,122,586
l,88,617
l,103,622
l,97,635
l,117,630
l,116,617
l,104,656
l,99,649
l,99,674
l,112,671
l,142,661
l,146,643
l,156,632
l,705,1601
l,708,1591
l,712,1616
l,724,1605
l,724,1613
l,733,1571
l,729,1589
l,743,1562
l,759,1568
l,793,1577
l,788,1576
l,814,1568
l,734,1625
l,751,1635
l,766,1628
l,768,1646
l,782,1665
l,840,1568
l,853,1559
