V1,V2,V3
l,736,1992
l,736,1957
l,790,1925
l,694,1991
l,677,1941
l,726,1824
l,1030,1768
l,955,1853
l,606,1957
l,547,1920
l,548,1968
l,566,1994
l,504,1810
l,463,1874
l,455,1808
l,470,1837
l,417,1872
l,463,1912
l,675,1784
l,744,1697
l,766,1744
l,847,1686
l,883,1616
l,425,1736
l,363,1665
l,382,1626
l,432,1699
l,454,1696
l,478,1715
l,558,1659
l,589,1641
l,579,1594
l,567,1597
l,599,1594
l,672,1608
l,470,1807
l,395,1848
l,430,1988
l,381,1914
l,563,1753
l,555,1768
l,552,1934
l,524,1956
l,366,1755
l,459,1648
l,431,1685
l,398,1685
l,381,1637
l,711,1764
l,682,1773
l,721,1844
l,697,1872
l,643,1876
l,478,1898
t,824,1962
t,918,1924
t,1035,1933
t,960,1764
t,743,1616
t,594,1858
t,367,1995
t,451,1935
t,488,1917
t,426,1845
t,409,1637
t,422,1650
t,472,1695
t,438,1709
t,447,1726
t,483,1669
t,441,1769
t,603,1900
