V1,V2,V3
t,167,1315
t,168,1352
t,184,1345
t,143,1327
t,146,1313
t,195,1332
t,127,1246
t,111,1224
t,103,1233
t,93,1245
t,129,1220
t,115,1203
t,128,1206
t,150,1211
t,24,1249
t,10,1261
t,23,1272
t,32,1279
t,41,1257
t,55,1218
t,34,1225
t,61,1181
t,82,1158
t,103,1146
t,58,1162
t,31,1435
t,42,1422
t,43,1353
t,107,1414
t,215,1386
t,229,1394
t,297,1451
t,333,1395
t,370,1356
t,406,1363
t,422,1347
t,387,1346
t,288,1310
t,223,1255
t,229,1230
t,249,1236
t,208,1125
t,285,1119
t,269,1113
t,250,1098
t,259,1043
t,363,1054
t,418,1089
t,421,1130
t,147,981
t,141,997
t,141,958
t,141,941
t,63,1018
t,92,1046
t,107,1038
t,256,956
t,269,942
t,233,990
t,26,1133
t,27,1151
t,68,1448
t,164,1332
t,70,1470
t,86,1463
t,96,1482
t,93,1512
t,72,1491
t,31,1172
c,471,1221
c,264,1354
c,42,1307
